Date,Location,Event Type,TO,Best of,Event Locator Link,Notes,Total Players
9/6/2018,Maitland,FL,PC,Jason Rangel,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000306/,,18
9/6/2018,Avon,OH,PC,Anthony Haslage,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000273/,,9
9/8/2018,Niles,IL,PC,Joseph Cross,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000585/,,27
9/8/2018,San Antonio,TX,PC,Codie Cobb,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000509/,,10
9/8/2018,Jenks,OK,PC,Amy Featherstone,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000513/,,9
9/8/2018,Northglenn,CO,PC,Dave Meyer,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000272/,,20
9/8/2018,Dublin,OH,PC,James Olivola,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000816/,,20
9/9/2018,Findlay,OH,PC,Johnathan Neville,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000873/,,14
9/10/2018,Auburn,WA,PC,David Nelson,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001050/,,15
9/13/2018,Lakewood,WA,PC,Terry Kamm,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001306/,Free,12
9/14/2018,Philadelphia,PA,PC,Vince Krekeler,-,http://www.poke-regionals.com/side-events.html,$20 entry,13
9/15/2018,Philadelphia,PA,MSS,Vince Krekeler,-,http://www.poke-regionals.com/side-events.html,Juniors/Seniors Only,15
9/15/2018,Philadelphia,PA,Regional,Vince Krekeler,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000009/,,183
9/16/2018,Philadelphia,PA,MSS,Vince Krekeler,-,http://www.poke-regionals.com/side-events.html,Masters Only $30 entry,47
9/16/2018,Philadelphia,PA,Regional,Vince Krekeler,Bo3,http://www.poke-regionals.com/side-events.html,Juniors/Seniors Only,25
9/16/2018,Phoenix,AZ,PC,Patricia McCann,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000769/,,15
9/16/2018,Milwaukie,OR,PC,Seth Kuepker,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001228/,,11
9/18/2018,Milwaukie,OR,PC,June Clanton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001194/,,8
9/22/2018,Gaithersburg,MD,PC,Kyle Littleton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000299/,,20
9/22/2018,Norwalk,CA,PC,Miguel Campos,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000315/,,37
9/22/2018,Mississippi St.,MS,PC,Joseph Brummett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000270/,,
9/22/2018,Meridian,ID,PC,Jessica Roest,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000648/,,9
9/22/2018,Coon Rapids,MN,PC,Ryan Alperstein,Bo3*,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001082/,,12
9/22/2018,Kent,OH,PC,Patrick Brett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001302/,,10
9/23/2018,Raleigh,NC,PC,Tommy Roberson,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000429/,date change from 9/16 to 9/23,22
9/23/2018,Loves Park,IL,PC,Suzanne Nortridge,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000891/,,25
9/23/2018,Coon Rapids,MN,PC,Thomas Collins,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001095/,,
9/23/2018,Houston,TX,PC,Miki Andrade,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001108/,,
9/23/2018,Lenexa,KS,PC,Stephen Clouse,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001480/,,
9/23/2018,Fincastle,VA,PC,Marthe Honts,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001234/,Free,10
9/27/2018,Lakewood,WA,PC,Michael Payne,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001441/,,
9/28/2018,Atlanta,GA,PC,Wade Miletto,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000552/,,
9/29/2018,Fremont,CA,PC,Genny DiLeonardo,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000541/,,
9/29/2018,Columbus,OH,PC,Ryan Patterson,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000246/,,
9/29/2018,Independence,MO,PC,Sandy Moldenhauer,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000407/,,
9/29/2018,Dublin,OH,PC,Laura Norton,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001114/,Free,
9/29/2018,Decatur,GA,PC,Brandon Oramas,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001201/,,
9/29/2018,Caguas,PR,PC,Melvin Concepcion,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001346/,,
9/29/2018,Lindenhurst,NY,PC,Robert Mirabile,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001623/,,
9/29/2018,Salt Lake City,UT,PC,Daniel Cheney,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001861/,,
9/30/2018,La Jolla,CA,PC,Mike Ellis,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000335/,,
9/30/2018,Huntsville,AL,PC,Mitch Beyer,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000934/,,
9/30/2018,Frederick,MD,PC,Jason Inman,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001124/,,
9/30/2018,Sanford,FL,PC,TJ DiGiacomo,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001640/,Free,
9/30/2018,Corpus Christi,TX,PC,Jonathan Turner,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001768/,,
9/30/2018,Phoenix,AZ,PC,Joseph Lugo,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001890/,,
9/30/2018,Fort Collins,CO,PC,Michael Pule,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001973/,,
